"Comment","Designator","Footprint","LCSC Part #"
"CR1220","BT1","kicad6-libraries:CR1220-2","C70381"
"B5819W","D1","Diode_SMD:D_SOD-123",""
"B5819W","D2","Diode_SMD:D_SOD-123",""
"B5819W","D3","Diode_SMD:D_SOD-123",""
"B5819W","D4","Diode_SMD:D_SOD-123",""
"1N4148WS","D5","Diode_SMD:D_SOD-323","C2128"
"B5819W","D6","Diode_SMD:D_SOD-123",""
"B5819W","D7","Diode_SMD:D_SOD-123",""
"B5819W","D8","Diode_SMD:D_SOD-123",""
"B5819W","D9","Diode_SMD:D_SOD-123",""
"175446-6","J1","175446-6:1754466",""
"Extra Inputs (2.54mm Pin Header)","J2","Connector_PinHeader_2.54mm:PinHeader_2x15_P2.54mm_Vertical",""
"TE_6473423-1_26p","J3","TE:6473423-1",""
"Module-mega-mcu144-0.7","M1","mega-mcu144:mega-mcu144",""
"Module-vr-max9924-0.1","M2","vr-max9924:vr-max9924",""
"Module-vr-discrete-0.5","M3","vr-discrete:vr-discrete",""
"Module-power_12and5V-0.3","M4","power_12and5V:power_12and5V",""
"Module-wbo-0.6","M5","wbo:wbo",""
"Module-knock-0.2","M6","knock:knock",""
"Module-can-0.1","M7","can:can",""
"BSS138","Q2","Package_TO_SOT_SMD:SOT-23",""
"4.7k","R1","Resistor_SMD:R_0402_1005Metric",""
"4.7k","R2","Resistor_SMD:R_0402_1005Metric",""
"4.7k","R3","Resistor_SMD:R_0402_1005Metric",""
"4.7k","R4","Resistor_SMD:R_0402_1005Metric",""
"4.7k","R5","Resistor_SMD:R_0402_1005Metric",""
"4.7k","R6","Resistor_SMD:R_0402_1005Metric",""
"4.7k","R7","Resistor_SMD:R_0402_1005Metric",""
"4.7k","R8","Resistor_SMD:R_0402_1005Metric",""
"10k","R9","Resistor_SMD:R_0402_1005Metric",""
"510R","R10","Resistor_SMD:R_0402_1005Metric",""
"4.7k","R11","Resistor_SMD:R_0402_1005Metric",""
"4.7k","R12","Resistor_SMD:R_0402_1005Metric",""
"4.7k","R13","Resistor_SMD:R_0402_1005Metric",""
"4.7k","R14","Resistor_SMD:R_0402_1005Metric",""
"TestPoint","TP1","",""
"VNLD5090-E","U1","VNLD5090-E:VNLD5090-E",""
"VNLD5090-E","U2","VNLD5090-E:VNLD5090-E",""
"VNLD5090-E","U3","VNLD5090-E:VNLD5090-E",""
"VNLD5090-E","U4","VNLD5090-E:VNLD5090-E",""
"VNLD5090-E","U5","VNLD5090-E:VNLD5090-E",""
"VNLD5090-E","U6","VNLD5090-E:VNLD5090-E",""
